QTo-W-0112	2	149	149	179	182	226	226	137	137	187	187	238	238	108	108	160	162	226	229
QTo-W-0113	2	149	149	179	182	226	226	137	137	187	187	238	238	108	108	160	162	226	229
QTo-W-0114	2	149	149	179	182	226	226	137	137	187	187	210	238	108	108	162	162	229	229
QTo-W-0115	2	149	149	179	182	226	226	137	137	187	187	210	238	108	108	162	162	229	229
QTo-W-0116	2	149	149	182	182	226	226	137	137	-9	-9	210	238	108	108	162	162	226	229
QTo-W-0117	2	149	149	182	182	226	226	137	137	-9	-9	-9	-9	108	108	162	162	226	229
QTo-W-0118	2	149	149	182	182	226	226	137	137	249	249	210	238	108	108	162	162	226	229
QTo-W-0119	2	149	149	182	182	226	226	137	137	-9	-9	210	238	108	108	162	162	226	229
QTo-W-0121	2	149	149	182	182	226	226	137	137	201	249	-9	-9	108	108	162	162	226	229
QTo-W-0122	2	149	149	182	182	226	226	137	137	201	249	-9	-9	108	108	162	162	226	229
QTo-W-0124	2	149	149	173	173	218	220	137	137	-9	-9	222	256	108	108	160	162	226	226
QTo-W-0125	2	149	149	173	173	218	220	137	137	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
QTo-W-0126	2	149	149	173	173	218	220	137	137	-9	-9	222	256	108	108	160	162	226	226
QTo-W-0127	2	149	149	173	173	218	220	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
QTo-W-0128	2	149	149	173	173	218	220	137	137	201	201	222	256	108	108	160	162	226	226
QTo-W-0129	2	149	149	173	173	218	220	137	137	201	201	222	254	108	108	160	162	226	226
QTo-W-0131	2	149	149	173	179	218	258	137	137	-9	-9	214	246	108	110	162	164	229	229
QTo-W-0132	2	149	149	182	182	220	226	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
QTo-W-0133	2	149	149	176	179	220	228	137	137	199	199	-9	-9	108	108	160	162	229	229
QTo-W-0134	2	-9	-9	-9	-9	-9	-9	137	137	199	199	-9	-9	-9	-9	-9	-9	-9	-9
QTo-W-0137	2	149	149	179	179	222	228	137	137	187	235	222	238	108	108	162	162	226	226
QTo-W-0138	2	149	149	173	176	218	220	137	137	245	245	218	236	108	108	160	162	226	226
QTo-W-0139	2	149	149	176	179	222	264	137	137	195	195	210	236	108	108	164	164	223	229
QTo-W-0140	2	149	149	-9	-9	222	264	137	137	195	195	-9	-9	108	108	164	164	223	229
QTo-W-0141	2	149	149	-9	-9	222	264	137	137	195	195	-9	-9	108	108	164	164	223	229
QTo-W-0142	2	149	149	179	179	222	264	137	137	195	195	210	236	108	108	164	164	223	229
QTo-W-0143	2	-9	-9	-9	-9	222	222	137	137	195	195	-9	-9	108	108	164	164	223	229
QTo-W-0144	2	149	149	173	173	218	222	137	137	187	199	206	248	108	108	160	162	229	229
QTo-W-0145	2	149	149	173	173	218	222	137	137	187	199	206	248	108	108	160	162	229	229
QTo-W-0147	2	-9	-9	-9	-9	-9	-9	137	137	187	199	-9	-9	108	108	162	162	229	229
QTo-W-0148	2	149	149	173	173	218	222	137	137	187	199	206	248	108	108	160	162	229	229
QTo-W-0149	2	149	149	179	179	230	230	137	137	217	219	-9	-9	108	108	-9	-9	229	229
QTo-W-0150	2	149	149	179	179	230	230	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
QTo-W-0151	2	149	149	179	179	230	230	137	137	219	219	216	218	108	108	-9	-9	229	229
QTo-W-0152	2	149	149	179	179	230	230	137	137	219	219	216	218	108	108	-9	-9	229	229
QTo-W-0153	2	149	149	179	179	230	230	137	137	219	219	-9	-9	108	108	-9	-9	229	229
QTo-W-0154	2	149	149	179	179	222	230	137	137	187	219	210	236	108	108	162	162	229	229
QTo-W-0155	2	149	149	179	179	222	230	137	137	187	219	210	236	108	108	162	162	229	229
QTo-W-0156	2	149	149	179	179	222	230	137	137	187	219	210	236	108	108	162	162	229	229
QTo-W-0159	2	149	149	-9	-9	222	228	137	137	187	187	206	210	108	108	162	162	226	229
QTo-W-0161	2	149	149	-9	-9	222	230	137	137	187	187	236	236	108	108	162	162	229	229
QTo-W-0162	2	149	149	182	182	222	260	137	137	187	187	210	216	108	108	162	166	229	229
QTo-W-0163	2	149	149	179	179	218	222	137	137	-9	-9	206	216	108	110	158	162	223	229
QTo-W-0167	2	149	149	176	176	224	226	137	137	187	187	-9	-9	108	108	162	162	226	229
QTo-W-0170	2	149	149	176	182	220	222	137	137	187	187	234	258	108	108	162	162	226	229
QTo-W-0171	2	149	149	173	173	222	258	137	137	-9	-9	-9	-9	108	108	162	162	226	229
QTo-W-0172	2	149	155	182	182	228	262	137	137	-9	-9	-9	-9	108	108	162	164	226	229
QTo-W-0173	2	149	149	176	179	222	228	137	137	187	187	-9	-9	108	108	162	162	226	229
QTo-W-0174	2	149	149	179	179	220	226	137	137	187	187	206	210	108	108	162	162	229	229
QTo-W-0175	2	149	149	173	179	218	258	137	137	245	245	218	252	108	108	162	162	229	229
QTo-W-0176	2	149	149	173	179	218	258	137	137	245	245	218	252	108	108	162	162	229	229
QTo-W-0180	2	149	149	173	173	218	218	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
QTo-W-0182	2	149	149	-9	-9	218	220	137	137	201	243	-9	-9	108	116	162	162	226	226
QTo-W-0184	2	149	149	170	170	218	220	137	137	187	187	208	210	108	108	162	162	229	229
QTo-W-0188	2	149	149	176	176	228	258	137	137	187	187	206	210	108	108	158	162	226	229
QTo-W-0189	2	149	149	176	176	228	258	137	137	187	187	206	210	108	108	158	162	226	229
QTo-W-0190	2	149	149	176	176	228	258	137	137	187	187	206	210	108	108	158	162	226	229
QTo-W-0191	2	149	149	176	176	228	258	137	137	187	187	206	210	108	108	158	162	226	229
QTo-W-0192	2	149	149	179	179	218	234	137	137	187	243	-9	-9	108	108	160	162	229	229
QTo-W-0193	2	149	149	179	179	218	234	137	137	187	229	206	218	108	108	160	162	229	229
QTo-W-0194	2	149	149	179	179	218	234	137	137	187	243	206	218	108	108	160	162	229	229
QTo-W-0195	2	149	149	179	179	218	234	137	137	187	243	-9	-9	108	108	160	162	229	229
QTo-W-0196	2	149	149	179	179	218	228	137	137	-9	-9	210	210	108	108	158	162	229	229
QTo-W-0197	2	149	149	179	179	218	228	137	137	201	201	210	210	108	108	158	162	229	229
QTo-W-0200	3	149	149	-9	-9	224	232	137	137	187	187	242	248	112	114	162	162	226	226
QTo-W-0201	3	-9	-9	-9	-9	224	232	137	137	187	187	242	248	112	114	162	162	226	226
QTo-W-0202	3	-9	-9	-9	-9	224	232	137	137	187	187	242	248	112	114	162	162	226	226
QTo-W-0205	3	147	155	176	176	220	228	137	137	187	187	210	210	108	108	162	162	223	223
QTo-W-0206	3	147	155	176	176	220	228	137	137	187	187	210	210	108	108	162	162	223	223
QTo-W-0208	3	149	149	176	176	220	222	137	137	187	203	210	224	108	110	160	162	226	229
QTo-W-0210	3	149	149	176	176	220	222	137	137	187	203	210	224	108	110	160	162	226	229
QTo-W-0211	3	149	155	176	182	258	258	137	137	187	187	206	234	108	108	158	162	229	232
QTo-W-0212	3	155	155	176	176	220	228	137	137	187	187	-9	-9	108	108	160	162	223	223
QTo-W-0213	3	155	155	176	176	220	228	137	137	187	187	210	234	108	108	160	162	223	223
QTo-W-0214	3	155	155	176	176	220	228	137	137	187	187	210	234	108	108	160	162	223	223
QTo-W-0216	3	149	149	179	179	218	220	137	139	215	215	-9	-9	108	112	158	162	226	229
QTo-W-0217	3	-9	-9	-9	-9	-9	-9	137	139	215	215	-9	-9	108	112	158	162	226	229
QTo-W-0219	3	-9	-9	-9	-9	-9	-9	137	139	215	215	-9	-9	108	112	158	162	226	229
QTo-W-0220	3	149	149	179	179	218	220	137	139	215	215	214	224	108	112	158	162	226	229
QTo-W-0221	3	149	149	179	179	222	232	-9	-9	-9	-9	-9	-9	-9	-9	160	164	226	232
QTo-W-0224	3	149	149	182	182	220	222	137	137	-9	-9	214	218	108	110	162	164	226	226
QTo-W-0225	3	161	161	-9	-9	218	250	137	137	187	203	216	234	104	108	162	162	223	226
QTo-W-0227	3	149	149	179	179	220	232	137	137	197	197	-9	-9	108	108	158	158	226	226
QTo-W-0229	3	161	161	179	179	222	250	137	137	203	203	216	242	104	110	162	162	223	226
QTo-W-0231	3	147	155	173	173	220	260	137	137	201	205	214	230	110	118	162	164	223	229
QTo-W-0232	3	-9	-9	-9	-9	-9	-9	137	137	187	187	-9	-9	108	110	162	162	223	229
QTo-W-0233	3	149	149	179	179	220	232	137	137	197	197	-9	-9	108	108	158	158	226	226
QTo-W-0237	3	-9	-9	-9	-9	222	222	135	137	187	187	-9	-9	106	106	160	160	226	226
QTo-W-0238	3	149	149	-9	-9	222	222	137	137	187	187	-9	-9	108	108	162	162	223	226
QTo-W-0240	3	149	149	173	173	222	260	137	137	187	187	210	222	108	114	162	162	223	229
QTo-W-0242	3	149	149	179	182	222	226	137	137	187	187	210	238	108	108	158	164	223	229
QTo-W-0244	3	149	149	182	182	220	222	137	137	187	187	204	204	110	114	162	164	223	229
QTo-W-0245	3	149	161	-9	-9	220	224	137	137	187	187	208	236	108	110	162	164	226	226
QTo-W-0251	3	149	149	179	179	226	228	137	137	199	217	230	238	108	110	162	162	229	229
QTo-W-0252	3	-9	-9	-9	-9	-9	-9	137	137	199	217	-9	-9	108	118	160	160	226	229
QTo-W-0253	3	149	161	170	170	222	226	137	137	187	187	216	224	108	110	158	162	223	226
QTo-W-0255	3	-9	-9	-9	-9	-9	-9	137	137	201	203	-9	-9	108	110	162	162	226	229
QTo-W-0256	3	149	161	173	173	220	222	137	137	201	203	-9	-9	108	110	162	162	226	229
QTo-W-0258	3	149	149	173	173	222	222	137	137	195	203	216	228	110	110	162	162	226	229
QTo-W-0259	3	147	161	173	179	226	250	137	137	187	187	216	236	108	108	158	164	229	229
QTo-W-0260	3	147	161	-9	-9	216	216	137	137	187	187	-9	-9	108	108	158	164	229	229
QTo-W-0261	3	147	161	173	179	226	250	137	137	187	187	216	236	108	108	158	164	229	229
QTo-W-0264	3	147	161	173	179	226	250	137	137	187	187	216	236	108	108	158	164	229	229
QTo-W-0265	3	147	161	173	179	226	250	137	137	187	187	216	236	108	108	158	164	229	229
QTo-W-0266	3	-9	-9	-9	-9	-9	-9	137	137	187	187	-9	-9	108	108	158	164	229	229
QTo-W-0270	3	147	161	173	179	226	250	137	137	187	187	216	236	108	108	158	164	229	229
QTo-W-0271	3	-9	-9	-9	-9	-9	-9	137	137	187	187	252	254	108	108	158	164	229	229
QTo-W-0272	3	147	161	173	179	226	250	137	137	187	187	216	236	108	108	158	164	229	229
QTo-W-0274	4	149	149	170	179	218	266	137	137	-9	-9	210	266	110	110	162	162	226	226
QTo-W-0275	4	149	149	173	173	218	220	137	137	199	219	206	210	108	114	160	162	226	229
QTo-W-0278	4	149	149	179	179	220	220	137	137	199	199	210	218	108	110	162	162	223	229
QTo-W-0279	4	-9	-9	-9	-9	-9	-9	137	137	187	187	-9	-9	108	108	162	164	223	229
QTo-W-0283	4	149	155	173	176	218	224	137	137	187	197	-9	-9	108	110	160	164	229	229
QTo-W-0284	4	149	155	173	176	218	224	137	137	187	197	210	212	108	110	160	164	229	229
QTo-W-0286	4	149	155	173	176	218	224	137	137	187	197	210	212	108	110	160	164	229	229
QTo-W-0287	4	149	149	-9	-9	218	266	137	137	195	197	-9	-9	110	110	162	162	226	226
QTo-W-0289	4	149	149	-9	-9	218	266	137	137	-9	-9	210	210	110	110	162	162	226	226
QTo-W-0290	4	149	149	-9	-9	218	266	137	137	195	197	-9	-9	110	110	162	162	226	226
QTo-W-0291	4	149	149	-9	-9	218	266	137	137	-9	-9	210	210	110	110	162	162	226	226
QTo-W-0293	4	149	149	173	173	222	258	137	137	227	227	210	236	108	116	160	162	226	226
QTo-W-0294	4	149	149	173	173	222	258	137	137	227	227	210	236	108	116	160	162	226	226
QTo-W-0295	4	149	149	173	173	218	222	137	137	-9	-9	206	218	108	108	160	160	223	229
QTo-W-0296	5	149	149	182	182	222	230	137	137	199	199	-9	-9	108	108	160	160	226	229
QTo-W-0298	5	149	149	182	182	222	230	137	137	199	199	210	210	108	108	160	160	226	229
QTo-W-0299	5	149	149	182	182	222	230	137	137	199	199	210	210	108	108	160	160	226	229
QTo-W-0300	5	149	149	173	182	220	266	137	137	201	201	-9	-9	112	114	160	162	229	229
QTo-W-0302	5	149	149	176	176	220	228	137	137	187	215	210	216	108	108	162	162	223	229
QTo-W-0303	5	149	149	176	176	220	228	137	137	187	215	210	216	108	108	162	162	223	229
QTo-W-0304	5	149	149	176	176	220	228	137	137	187	215	210	216	108	108	162	162	223	229
QTo-W-0305	5	149	149	179	182	220	222	137	137	195	197	210	232	110	112	160	162	226	226
QTo-W-0306	5	149	149	179	182	220	222	137	137	195	197	210	232	110	112	160	162	226	226
QTo-W-0307	5	149	149	179	182	220	222	137	137	195	197	210	232	110	112	160	162	226	226
QTo-W-0308	5	149	149	179	182	220	222	137	137	-9	-9	210	232	110	112	160	162	226	226
QTo-W-0309	5	149	149	-9	-9	220	228	137	137	187	187	218	218	108	108	160	162	226	226
QTo-W-0311	5	149	149	173	173	222	228	137	137	187	187	222	242	108	108	162	162	223	226
QTo-W-0312	5	147	147	182	182	224	258	137	137	199	199	210	238	108	108	158	162	226	226
QTo-W-0315	5	147	147	182	182	224	258	137	137	199	199	-9	-9	108	108	158	162	226	226
QTo-W-0316	5	147	147	182	182	224	258	137	137	199	199	-9	-9	108	108	158	162	226	226
QTo-W-0318	5	149	149	182	182	218	218	137	137	187	187	210	218	108	112	162	162	223	226
QTo-W-0319	5	149	149	182	182	218	218	137	137	187	187	210	218	108	112	162	162	223	226
QTo-W-0320	5	149	149	182	182	218	218	137	137	187	187	210	218	108	112	162	162	223	226
QTo-W-0322	5	149	149	182	182	218	218	137	137	187	187	-9	-9	108	112	162	162	223	226
QTo-W-0323	5	149	149	182	182	218	218	137	137	187	187	210	218	108	112	162	162	223	226
QTo-W-0324	5	149	149	182	182	218	218	137	137	187	187	210	218	108	112	162	162	223	226
QTo-W-0326	5	149	149	-9	-9	218	220	137	137	187	187	-9	-9	108	108	162	162	226	226
QTo-W-0327	5	149	149	-9	-9	218	220	137	137	187	187	216	218	108	108	162	162	226	226
QTo-W-0328	5	149	149	179	179	218	222	137	137	219	219	212	230	112	114	162	162	226	229
QTo-W-0329	5	149	149	179	179	218	222	137	137	217	217	212	230	112	114	162	162	226	229
QTo-W-0330	5	149	149	179	179	218	222	137	137	217	217	-9	-9	112	114	162	162	226	229
QTo-W-0332	5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
